13-02-2022 11:42,b'@JennyJenocon Grow up #maskoff',b'WendyPu01820112',b'Solihull'
11-02-2022 02:22,b'Excited to go out tonight #lasvegas #maskoff lmao \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x8e\x89',b'stephprincess95',"b'Las Vegas, NV'"
,,,
11-02-2022 02:04,b'Streets are crazy! Drive safe please everyone. #maskoff #masklessmarch #Vegas',b'BrianJo65247428',"b'Winchester, NV'"
,,,
11-02-2022 01:40,b'I made this for an insta story (610CJ) but I wanted to share it with yall on twitter bcuz I love my NFT/Metaverse c\xe2\x80\xa6 https://t.co/v2IxRFqQ5W',b'DJTRAXNFT',"b'Las Vegas, NV'"
,,,
10-02-2022 23:47,b'#maskoff Las Vegas. Here we come.',b'gabeknowsplays',"b'Las Vegas, NV'"
,,,
10-02-2022 23:17,"b""@shinny006 Sometimes them pictures on Social Media doesn't tell the whole story might be hiding the real truth\xe2\x80\xa6 https://t.co/sm4DjDRY3N""",b'bryansimmons13',b'United States'
,,,
10-02-2022 23:08,b'And watch me end up playing it still\xf0\x9f\x98\x82\xf0\x9f\x94\xa5 #maskoff @1future @MetroBoomin https://t.co/HWNkEia8EX',b'iamNoBL',b'Somewhere playing flute'
,,,
10-02-2022 21:55,b'Now the Karens will have to find something new to bitch about #nomasksinnevada #MasksOff\n#maskoff',b'Melissa76751925',"b'Las Vegas, NV'"
,,,
10-02-2022 20:24,"b""@MichealMartinTD @LeoVaradkar I don't want to hear a word about St. Patrick's Day festivities until the dirty, usel\xe2\x80\xa6 https://t.co/fg8bOsfLkT""",b'bekahjeopardy',b'Ireland'
,,,
10-02-2022 20:20,b'CastroJr needs to listen to experts like @P_McCulloughMD. Enough is enough. #MaskOff #TruckersConvoy\xe2\x80\xa6 https://t.co/NZWmfdQrYW',b'Freedom2022CAD',"b'Kitchener, Ontario'"
,,,
10-02-2022 19:06,b'#maskoff #LasVegas #Nevada\nFinally! https://t.co/NgZCbocIUS',b'MrMorrisonRisin',"b'Las Vegas, NV'"
,,,
10-02-2022 18:25,b'Take it off. @SeanMcTV @vegasrevealed #maskoff https://t.co/VtSBf9PeiB',b'DaynaRoselli',"b'Las Vegas, NV'"
,,,
10-02-2022 18:24,b'People forget when they throw stones and hide their hands that their face is still exposed\xf0\x9f\x92\xaf #GodsPlan #smh #Karma\xe2\x80\xa6 https://t.co/PoGmAf0nfA',b'heyhazellove',b''
,,,
10-02-2022 18:18,b'NV Governor Sisolak removes indoor mask mandate effective IMMEDIATELY.\n\n#MASKOFF #NOMOREMASKS',b'gruler',"b'Phoenix, AZ'"
,,,
10-02-2022 18:08,b'And just like that\xe2\x80\xa6 masks off. \xf0\x9f\x98\xb7\xe2\x80\x94&gt; \xf0\x9f\xa4\x97 #maskoff #Nevada #LasVegas',b'DaynaRoselli',"b'Las Vegas, NV'"
,,,
10-02-2022 17:00,b'Shout out to Scooby Doo &amp; the Gang for finally lifting the mask mandates!\n#BackToLifeBackToReality #OverIt #NewYork\xe2\x80\xa6 https://t.co/m2q3CSpEP0',b'MummiesOnMainSt',b''
,,,
10-02-2022 16:48,b'@jeffcoleart I see your Power Ranger for my Diamond backs Card. #maskoff #doxxed https://t.co/omkg1U76Oo',b'BrandoCuh',b''
,,,
10-02-2022 16:46,b'Probably a good time to invest in companies that make teeth whitening and breath freshening products! :) \n-\xe2\x80\xa6 https://t.co/LDBsCuQGdT',b'nikhil_vaish',b'On my journey.'
,,,
10-02-2022 16:10,"b'Apparently the #CDC didn\'t get the memo...WE don\'t care about their useless ""mask rules"" so it really doesn\'t matte\xe2\x80\xa6 https://t.co/Qk17X8fv0m'",b'Dawn_And13',"b'Mississippi, USA'"
,,,
10-02-2022 15:21,b'We don\xe2\x80\x99t do pseudonymous identities here\n\n#maskoff https://t.co/kydNhKc6yC',b'jeffcoleart',b''
,,,
10-02-2022 07:12,"b'You heard the woman, take that mask off and go shopping at Polo Park this weekend! #winnipeg #wpgpoli #mbpoli\xe2\x80\xa6 https://t.co/GVk3mIUvd1'",b'WPGAltMedia',b'Winnipeg'
,,,
10-02-2022 02:53,"b""#PureJoy: #children in #Israel react when they're told they don't have to wear #masks. #MaskFreedom #MaskOff\xe2\x80\xa6 https://t.co/niyj2RCcie""",b'sn00pdad',b''
,,,
